timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.12-12.54.55,load,1,00:00:01,ebee3d_42.blend,C:\Art\Ebee3d\ebee3d_42.blend
2014.08.12-13.09.42,save,886,00:14:46,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-13.13.22,save,220,00:03:40,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-13.13.54,save,32,00:00:32,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-14.09.33,save,3339,00:55:39,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-14.09.36,load,2,00:00:02,,
2014.08.12-14.28.25,load,1129,00:18:49,,
2014.08.12-15.06.16,load,2271,00:37:51,,
2014.08.12-16.45.06,load,5929,01:38:49,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-16.49.43,save,276,00:04:36,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-17.02.04,save,740,00:12:20,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-17.06.10,save,246,00:04:06,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.12-19.16.05,save,7794,02:09:54,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.13-13.45.49,load,0,00:00:00,,
2014.08.13-14.01.57,load,967,00:16:07,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.13-14.40.25,save,2308,00:38:28,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.13-14.47.28,load,423,00:07:03,,
2014.08.13-18.08.26,load,12058,03:20:58,,
2014.08.13-18.08.30,load,3,00:00:03,ebee3d_43.blend,C:\Art\Ebee3d\ebee3d_43.blend
2014.08.13-18.30.28,save,1318,00:21:58,ebee3d_44.blend,C:\Art\Ebee3d\ebee3d_44.blend
2014.08.13-18.53.34,load,0,00:00:00,,
2014.08.13-18.54.32,load,58,00:00:58,ebee3d_44.blend,C:\Art\Ebee3d\ebee3d_44.blend
