timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.09.23-11.49.11,save,1505,00:25:05,monster_10.blend,C:\Art\Biomecha Game\Monster\monster_10.blend
2014.09.23-11.52.39,save,207,00:03:27,monster_10.blend,C:\Art\Biomecha Game\Monster\monster_10.blend
2014.09.23-12.28.18,save,2139,00:35:39,monster_10.blend,C:\Art\Biomecha Game\Monster\monster_10.blend
2014.09.23-12.39.17,save,658,00:10:58,monster_10.blend,C:\Art\Biomecha Game\Monster\monster_10.blend
2014.09.23-13.03.09,save,1432,00:23:52,monster_10.blend,C:\Art\Biomecha Game\Monster\monster_10.blend
2014.09.23-13.39.32,save,2183,00:36:23,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-13.42.49,save,196,00:03:16,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-15.24.28,save,6098,01:41:38,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-15.33.35,save,547,00:09:07,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-15.46.30,save,775,00:12:55,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-15.51.37,save,306,00:05:06,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-17.17.01,save,5123,01:25:23,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-17.34.15,save,1033,00:17:13,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-17.47.24,save,788,00:13:08,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-17.50.10,save,166,00:02:46,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-18.25.07,save,2096,00:34:56,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-18.35.13,save,606,00:10:06,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-18.59.05,save,1432,00:23:52,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-19.01.52,save,166,00:02:46,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
2014.09.23-19.09.05,save,433,00:07:13,monster_11.blend,C:\Art\Biomecha Game\Monster\monster_11.blend
